"ID","INVENTARIO_ID","FECHA_VENC","LOTE","CANTIDAD",,,,,,
420,1000436,2021-10-16,20211016,100,,,,,,
421,1000437,2021-10-17,20211017,100,,,,,,
422,1000438,2021-10-18,20211018,100,,,,,,
423,1000439,2021-10-19,20211019,0,,,,,,
424,1000440,2021-10-20,20211020,0,,,,,,
425,1000441,2021-10-21,20211021,1000,,,,,,
426,1000442,2021-10-22,20211022,0,,,,,,
427,1000443,2021-10-23,20211023,40,,,,,,
428,1000444,2021-10-24,20211024,24,,,,,,
429,1000445,2021-10-25,20211025,24,,,,,,
430,1000446,2021-10-26,20211026,64,,,,,,
431,1000447,2021-10-27,20211027,304,,,,,,
432,1000448,2021-10-28,20211028,22,,,,,,
433,1000449,2021-10-29,20211029,18,,,,,,
434,1000450,2021-10-30,20211030,200,,,,,,
435,1000451,2021-10-31,20211031,0,,,,,,
436,1000452,2021-11-01,20211101,0,,,,,,
437,1000453,2021-11-02,20211102,13,,,,,,
438,1000454,2021-11-03,20211103,0,,,,,,
439,1000455,2021-11-04,20211104,113,,,,,,
440,1000456,2021-11-05,20211105,100,,,,,,
441,1000457,2021-11-06,20211106,60,,,,,,
442,1000458,2021-11-07,20211107,101,,,,,,
443,1000459,2021-11-08,20211108,104,,,,,,
444,1000460,2021-11-09,20211109,0,,,,,,
445,1000461,2021-11-10,20211110,0,,,,,,
446,1000462,2021-11-11,20211111,100,,,,,,
447,1000463,2021-11-12,20211112,0,,,,,,
448,1000464,2021-11-13,20211113,1,,,,,,
449,1000465,2021-11-14,20211114,0,,,,,,
450,1000466,2021-11-15,20211115,0,,,,,,
451,1000467,2021-11-16,20211116,83,,,,,,
452,1000468,2021-11-17,20211117,100,,,,,,
453,1000469,2021-11-18,20211118,96,,,,,,
454,1000470,2021-11-19,20211119,0,,,,,,
455,1000471,2021-11-20,20211120,261,,,,,,
456,1000472,2021-11-21,20211121,100,,,,,,
457,1000473,2021-11-22,20211122,100,,,,,,
458,1000474,2021-11-23,20211123,100,,,,,,
459,1000475,2021-11-24,20211124,0,,,,,,
460,1000476,2021-11-25,20211125,370,,,,,,
461,1000477,2021-11-26,20211126,0,,,,,,
462,1000478,2021-11-27,20211127,0,,,,,,
463,1000479,2021-11-28,20211128,0,,,,,,
464,1000480,2021-11-29,20211129,100,,,,,,
465,1000481,2021-11-30,20211130,100,,,,,,
466,1000482,2021-12-01,20211201,200,,,,,,
467,1000483,2021-12-02,20211202,24,,,,,,
468,1000484,2021-12-03,20211203,9,,,,,,
469,1000485,2021-12-04,20211204,11,,,,,,
470,1000486,2021-12-05,20211205,500,,,,,,
471,1000487,2021-12-06,20211206,0,,,,,,
472,1000488,2021-12-07,20211207,100,,,,,,
473,1000489,2021-12-08,20211208,100,,,,,,
474,1000490,2021-12-09,20211209,11,,,,,,
475,1000491,2021-12-10,20211210,0,,,,,,
476,1000492,2021-12-11,20211211,144,,,,,,
477,1000493,2021-12-12,20211212,135,,,,,,
478,1000494,2021-12-13,20211213,0,,,,,,
479,1000495,2021-12-14,20211214,36,,,,,,
480,1000496,2021-12-15,20211215,282,,,,,,
481,1000497,2021-12-16,20211216,154,,,,,,
482,1000498,2021-12-17,20211217,74,,,,,,
483,1000499,2021-12-18,20211218,443,,,,,,
484,10004100,2021-12-19,20211219,476,,,,,,
485,10004101,2021-12-20,20211220,100,,,,,,
486,10004102,2021-12-21,20211221,180,,,,,,
487,10004103,2021-12-22,20211222,58,,,,,,
488,10004104,2021-12-23,20211223,31,,,,,,
